,F1,F2,F3,categories
0,0.3864362220289579,0.7039995169543896,0.5332933158658827,pf_rol
1,0.17626713777777972,0.49155506692032297,0.3978096472405166,pf_ss
2,0.8202812599192868,0.3658703468873625,0.047100893095437434,pf_movement
3,0.9067967191123388,0.13032567156395022,-0.10468285670861725,pf_religion
4,0.924895419671996,0.21747395870200692,-0.07779979632340142,pf_assembly
5,0.8809721168195952,0.2774324827178759,0.1221364119572541,pf_expression
6,0.49256763066629033,0.36033747270628236,0.06122094560869001,pf_identity
7,0.10026366871276844,0.02630493425625286,-0.5108282551364485,ef_government
8,0.41120876344439633,0.7205249424123619,0.41897170761457514,ef_legal
9,0.17739486138120672,0.7794083189887129,-0.11234655913902898,ef_money
10,0.256944518166839,0.8640084662255355,-0.07464273177859773,ef_trade
11,0.21547732068074418,0.7155525214233044,0.09784022641268658,ef_regulation
