,F1,F2,F3,categories
0,0.3864362225176162,0.7039995156340111,0.533293322762872,pf_rol
1,0.1762671381200687,0.4915550652373676,0.39780964703857663,pf_ss
2,0.8202812585819201,0.3658703465143494,0.04710089408087178,pf_movement
3,0.9067967209112462,0.13032567075491788,-0.10468285673450843,pf_religion
4,0.9248954190408264,0.21747395869294847,-0.07779979496748339,pf_assembly
5,0.8809721164056707,0.27743248216870536,0.1221364125401589,pf_expression
6,0.49256763111673546,0.36033747216451195,0.061220946611419046,pf_identity
7,0.10026366892943589,0.02630493524243212,-0.5108282530621839,ef_government
8,0.41120876395198663,0.7205249404032037,0.41897170967573066,ef_legal
9,0.17739486137793228,0.7794083205985908,-0.11234655832375517,ef_money
10,0.2569445185176232,0.8640084670143285,-0.07464273009428045,ef_trade
11,0.21547732097859779,0.7155525213694063,0.09784022875766214,ef_regulation
